id,category,idea,seo_impact,business_impact,effort,confidence,score,priority,expected_kpi,kpi_lift_low,kpi_lift_high
B-00001,technical_seo,Refactor redirect chains on internal search for high-intent queries with quarterly audits,96,81,31,91,86.85,High,Average ranking position improvement,0.72,8.59
B-00002,technical_seo,Refactor redirect chains on video embeds for conversion pages with CI guardrails,98,81,31,78,85.8,High,Engaged sessions,0.71,14.22
B-00003,performance,Adopt HTTP/3 delivery on archive pages sitewide with rollback plan,95,82,35,91,85.8,High,Average ranking position improvement,0.71,8.53
B-00004,technical_seo,Normalize canonical clusters on internal search for Korean locale with rollback plan,96,84,35,82,85.3,High,Engaged sessions,0.71,14.18
B-00005,crawlability,Restrict low-value crawl paths on forms for high-traffic pages with logging and alerting,93,81,28,85,85.2,High,Organic clicks,2.13,25.5
B-00006,technical_seo,Standardize trailing-slash policy on video embeds for conversion pages with owner accountability,95,84,35,84,85.15,High,Average ranking position improvement,0.71,8.5
B-00007,technical_seo,Validate canonical parity on archive pages for first-time visitors with performance budgets,97,71,32,91,85.1,High,CTR,0.42,6.37
B-00008,performance,Defer non-critical JS on blog/article templates for low-traffic pages with quarterly audits,94,84,40,93,85.05,High,Bounce rate reduction,0.28,7.78
B-00009,technical_seo,Consolidate duplicate slugs on project detail pages for Korean locale with performance budgets,95,84,37,86,85.05,High,LCP (sec) reduction,0.07,1.27
B-00010,performance,Reduce third-party script cost on internal search sitewide with performance budgets,94,84,35,86,85.0,High,Organic clicks,2.12,25.47
B-00011,crawlability,Strengthen internal crawl depth on projects listing for desktop users with performance budgets,92,80,28,88,85.0,High,Crawl efficiency,1.42,35.38
B-00012,technical_seo,Automate broken-link remediation on footer links for Korean locale with anomaly detection,96,80,32,81,84.95,High,Indexed valid pages,0.71,16.97
B-00013,crawlability,Strengthen internal crawl depth on structured data blocks for branded queries with quarterly audits,93,80,27,83,84.9,High,Organic clicks,2.12,25.45
B-00014,technical_seo,Add hreflang governance on leadership page for returning users using template-level controls,95,79,33,86,84.85,High,Engaged sessions,0.71,14.14
B-00015,technical_seo,Refactor redirect chains on project detail pages sitewide using template-level controls,96,78,37,89,84.75,High,Organic clicks,2.12,25.43
B-00016,performance,Defer non-critical JS on leadership page sitewide with weekly monitoring,93,84,35,87,84.7,High,LCP (sec) reduction,0.07,1.27
