idea_id,focus_area,idea_type,title,idea,persona,surface,mechanic,target_outcome,revenue_potential,lead_quality_impact,effort,effort_inverse,confidence,composite_score,phase
C00001,chatbot_ux,automation,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using personalized prompting to lower cpc.,founder,homepage_chat_widget,personalized_prompting,lower_cpc,68,60,56,44,80,63.0,P3
C00002,chatbot_ux,feature,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using personalized prompting to increase pipeline velocity.,founder,homepage_chat_widget,personalized_prompting,increase_pipeline_velocity,68,43,63,37,69,55.7,P3
C00003,chatbot_ux,playbook,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using personalized prompting to reduce churn risk.,founder,homepage_chat_widget,personalized_prompting,reduce_churn_risk,67,64,61,39,85,63.35,P3
C00004,chatbot_ux,optimization,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using personalized prompting to reduce churn risk.,founder,homepage_chat_widget,personalized_prompting,reduce_churn_risk,78,63,47,53,61,66.7,P2
C00005,chatbot_ux,assistive_ai,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using personalized prompting to reduce churn risk.,founder,homepage_chat_widget,personalized_prompting,reduce_churn_risk,73,79,59,41,71,67.8,P2
C00006,chatbot_ux,workflow,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using personalized prompting to improve data quality.,founder,homepage_chat_widget,personalized_prompting,improve_data_quality,76,43,53,47,77,62.1,P3
C00007,chatbot_ux,optimization,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using personalized prompting to higher arpu.,founder,homepage_chat_widget,personalized_prompting,higher_arpu,80,59,64,36,75,65.2,P3
C00008,chatbot_ux,qa_guardrail,Chatbot Ux: Personalized Prompting for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using personalized prompting to higher arpu.,founder,homepage_chat_widget,personalized_prompting,higher_arpu,79,48,67,33,55,58.45,P3
C00009,chatbot_ux,playbook,Chatbot Ux: Dynamic Cta for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using dynamic cta to improve mql to sql.,founder,homepage_chat_widget,dynamic_cta,improve_mql_to_sql,39,54,44,56,82,52.6,P3
C00010,chatbot_ux,qa_guardrail,Chatbot Ux: Dynamic Cta for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using dynamic cta to raise trial to paid.,founder,homepage_chat_widget,dynamic_cta,raise_trial_to_paid,78,46,71,29,61,57.65,P3
C00011,chatbot_ux,integration,Chatbot Ux: Dynamic Cta for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using dynamic cta to reduce cac.,founder,homepage_chat_widget,dynamic_cta,reduce_cac,69,58,60,40,81,62.25,P3
C00012,chatbot_ux,integration,Chatbot Ux: Dynamic Cta for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using dynamic cta to increase pipeline velocity.,founder,homepage_chat_widget,dynamic_cta,increase_pipeline_velocity,78,67,68,32,77,65.9,P3
C00013,chatbot_ux,optimization,Chatbot Ux: Dynamic Cta for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using dynamic cta to faster experiment cycles.,founder,homepage_chat_widget,dynamic_cta,faster_experiment_cycles,62,53,51,49,77,59.4,P3
C00014,chatbot_ux,assistive_ai,Chatbot Ux: Dynamic Cta for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using dynamic cta to faster experiment cycles.,founder,homepage_chat_widget,dynamic_cta,faster_experiment_cycles,67,92,46,54,60,69.6,P2
C00015,chatbot_ux,workflow,Chatbot Ux: Intent Detection for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using intent detection to increase demo bookings.,founder,homepage_chat_widget,intent_detection,increase_demo_bookings,79,80,66,34,81,70.55,P2
C00016,chatbot_ux,optimization,Chatbot Ux: Intent Detection for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using intent detection to increase demo bookings.,founder,homepage_chat_widget,intent_detection,increase_demo_bookings,87,61,37,63,66,72.55,P2
C00017,chatbot_ux,qa_guardrail,Chatbot Ux: Intent Detection for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using intent detection to increase demo bookings.,founder,homepage_chat_widget,intent_detection,increase_demo_bookings,81,43,59,41,75,62.6,P3
C00018,chatbot_ux,automation,Chatbot Ux: Intent Detection for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using intent detection to reduce cac.,founder,homepage_chat_widget,intent_detection,reduce_cac,66,71,67,33,98,65.45,P3
C00019,chatbot_ux,workflow,Chatbot Ux: Intent Detection for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using intent detection to improve ad ctr.,founder,homepage_chat_widget,intent_detection,improve_ad_ctr,77,54,50,50,63,63.75,P3
C00020,chatbot_ux,qa_guardrail,Chatbot Ux: Intent Detection for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using intent detection to improve ad ctr.,founder,homepage_chat_widget,intent_detection,improve_ad_ctr,81,55,57,43,80,66.75,P2
C00021,chatbot_ux,workflow,Chatbot Ux: Intent Detection for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using intent detection to lower cpc.,founder,homepage_chat_widget,intent_detection,lower_cpc,61,58,30,70,60,61.9,P3
C00022,chatbot_ux,integration,Chatbot Ux: Intent Detection for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using intent detection to lower cpc.,founder,homepage_chat_widget,intent_detection,lower_cpc,63,67,76,24,72,57.55,P3
C00023,chatbot_ux,optimization,Chatbot Ux: Intent Detection for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using intent detection to increase pipeline velocity.,founder,homepage_chat_widget,intent_detection,increase_pipeline_velocity,73,64,74,26,82,62.7,P3
C00024,chatbot_ux,assistive_ai,Chatbot Ux: Intent Detection for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using intent detection to increase pipeline velocity.,founder,homepage_chat_widget,intent_detection,increase_pipeline_velocity,73,49,72,28,76,58.45,P3
C00025,chatbot_ux,feature,Chatbot Ux: Intent Detection for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using intent detection to reduce churn risk.,founder,homepage_chat_widget,intent_detection,reduce_churn_risk,85,62,87,13,68,62.3,P3
C00026,chatbot_ux,optimization,Chatbot Ux: Intent Detection for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using intent detection to improve data quality.,founder,homepage_chat_widget,intent_detection,improve_data_quality,89,63,50,50,60,70.35,P2
C00027,chatbot_ux,assistive_ai,Chatbot Ux: Intent Detection for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using intent detection to improve data quality.,founder,homepage_chat_widget,intent_detection,improve_data_quality,68,81,70,30,80,65.45,P3
C00028,chatbot_ux,automation,Chatbot Ux: Intent Detection for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using intent detection to faster experiment cycles.,founder,homepage_chat_widget,intent_detection,faster_experiment_cycles,41,71,66,34,66,50.85,P3
C00029,chatbot_ux,analytics,Chatbot Ux: Intent Detection for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using intent detection to higher arpu.,founder,homepage_chat_widget,intent_detection,higher_arpu,62,62,84,16,60,52.5,P3
C00030,chatbot_ux,qa_guardrail,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using fallback recovery to improve mql to sql.,founder,homepage_chat_widget,fallback_recovery,improve_mql_to_sql,65,80,51,49,68,66.0,P2
